,Player,GP,ATT,YDS,YDS/G,AVG,TD,LNG,Team
0,Kyren Williams,12,228,1144,95.3,5.0,12,56,LAR
1,Christian McCaffrey,16,272,1459,91.2,5.4,14,72,SF
2,Baker Mayfield,17,62,163,9.6,2.6,1,31,TB
3,Nick Chubb,2,28,170,85.0,6.1,0,20,CLE
4,James Conner,13,208,1040,80.0,5.0,7,44,ARI
5,Jonathan Taylor,10,169,741,74.1,4.4,7,49,IND
6,De'Von Achane,11,103,800,72.7,7.8,8,76,MIA
7,David Montgomery,14,219,1015,72.5,4.6,13,75,DET
8,Saquon Barkley,14,247,962,68.7,3.9,6,36,PHI
9,Derrick Henry,17,280,1167,68.6,4.2,12,69,BAL
10,Raheem Mostert,15,209,1012,67.5,4.8,18,49,MIA
11,Isiah Pacheco,14,205,935,66.8,4.6,7,48,KC
12,James Cook,17,237,1122,66.0,4.7,2,42,BUF
13,D'Andre Swift,16,229,1049,65.6,4.6,5,43,CHI
14,Jahmyr Gibbs,15,182,945,63.0,5.2,10,36,DET
15,Josh Jacobs,13,233,805,61.9,3.5,6,63,GB
16,Najee Harris,17,255,1035,60.9,4.1,8,25,PIT
17,Joe Mixon,17,257,1034,60.8,4.0,9,44,HOU
18,Kenneth Walker III,15,219,905,60.3,4.1,8,45,SEA
19,Aaron Jones,11,142,656,59.6,4.6,2,39,MIN
20,Travis Etienne,17,267,1008,59.3,3.8,11,62,JAC
21,Tony Pollard,17,252,1005,59.1,4.0,6,31,TEN
22,Breece Hall,17,223,994,58.5,4.5,5,83,NYJ
23,Rachaad White,17,272,990,58.2,3.6,6,38,TB
24,Bijan Robinson,17,214,976,57.4,4.6,4,38,ATL
25,Zack Moss,14,183,794,56.7,4.3,5,56,CIN
26,Alvin Kamara,13,180,694,53.4,3.9,5,17,NO
27,Chuba Hubbard,17,238,902,53.1,3.8,5,22,CAR
28,Devin Singletary,17,216,898,52.8,4.2,4,24,NYG
29,Rhamondre Stevenson,12,156,619,51.6,4.0,4,64,NE
30,Lamar Jackson,16,148,821,51.3,5.6,5,30,BAL
31,Khalil Herbert,12,132,611,50.9,4.6,2,38,CHI
32,Justin Fields,13,124,657,50.5,5.3,4,39,PIT
33,Keaton Mitchell,8,47,396,49.5,8.4,2,60,BAL
34,Brian Robinson Jr.,15,178,733,48.9,4.1,5,29,WAS
35,Javonte Williams,16,217,774,48.4,3.6,3,21,DEN
36,Jerome Ford,17,204,813,47.8,4.0,4,69,CLE
37,Gus Edwards,17,198,810,47.6,4.1,13,42,LAC
38,D'Onta Foreman,9,109,425,47.2,3.9,4,22,CLE
39,Jaylen Warren,17,149,784,46.1,5.3,4,74,PIT
40,Austin Ekeler,14,179,628,44.9,3.5,5,55,WAS
41,Alexander Mattison,16,180,700,43.8,3.9,0,21,LV
42,AJ Dillon,15,178,613,40.9,3.4,2,40,GB
43,Tyler Allgeier,17,186,683,40.2,3.7,4,31,ATL
44,Ezekiel Elliott,17,184,642,37.8,3.5,3,17,DAL
45,Jalen Hurts,17,157,605,35.6,3.9,15,24,PHI
46,Daniel Jones,6,40,206,34.3,5.2,1,17,NYG
47,Joshua Dobbs,13,77,421,32.4,5.5,6,44,SF
48,Josh Allen,17,111,524,30.8,4.7,15,23,BUF
49,Kyler Murray,8,44,244,30.5,5.6,3,33,ARI
50,Dameon Pierce,14,145,416,29.7,2.9,2,22,HOU
51,Zach Charbonnet,16,108,462,28.9,4.3,1,23,SEA
52,Kareem Hunt,15,135,411,27.4,3.0,9,16,CLE
53,Ty Chandler,17,102,461,27.1,4.5,3,31,MIN
54,Miles Sanders,16,129,432,27.0,3.4,1,48,CAR
55,Tyjae Spears,17,100,453,26.6,4.5,2,23,TEN
56,Zamir White,17,104,451,26.5,4.3,1,43,LV
57,Elijah Mitchell,11,75,281,25.5,3.8,2,18,SF
58,Taysom Hill,16,81,401,25.1,5.0,4,27,NO
59,Patrick Mahomes,16,75,389,24.3,5.2,0,25,KC
60,Justice Hill,16,84,387,24.2,4.6,3,41,BAL
61,Jaleel McLaughlin,17,76,410,24.1,5.4,1,38,DEN
62,Cam Akers,7,60,167,23.9,2.8,2,19,MIN
63,Joshua Kelley,17,107,405,23.8,3.8,2,49,LAC
64,Jamaal Williams,13,106,306,23.5,2.9,1,17,NO
65,Roschon Johnson,15,81,352,23.5,4.4,2,29,CHI
66,Royce Freeman,14,77,319,22.8,4.1,2,23,DAL
67,Kenneth Gainwell,16,84,364,22.8,4.3,2,32,PHI
68,Russell Wilson,15,80,341,22.7,4.3,3,21,PIT
69,Rico Dowdle,16,89,361,22.6,4.1,2,21,DAL
70,Tommy DeVito,9,36,195,21.7,5.4,1,26,NYG
71,Trevor Lawrence,16,70,339,21.2,4.8,4,26,JAC
72,Emari Demercado,14,58,284,20.3,4.9,2,49,ARI
73,Kendre Miller,8,41,156,19.5,3.8,1,18,NO
74,Chris Rodriguez Jr.,13,51,247,19.0,4.8,2,16,WAS
75,Latavius Murray,16,79,300,18.8,3.8,4,29,BUF
76,Jeff Wilson,10,41,188,18.8,4.6,0,15,MIA
77,Tyrod Taylor,11,38,197,17.9,5.2,0,31,NYJ
78,Zach Wilson,12,36,211,17.6,5.9,0,20,DEN
79,Justin Herbert,13,52,228,17.5,4.4,3,35,LAC
80,Pierre Strong Jr.,17,63,291,17.1,4.6,1,40,CLE
81,Antonio Gibson,16,65,265,16.6,4.1,1,16,NE
82,Bryce Young,16,39,253,15.8,6.5,0,26,CAR
83,Sam Howell,17,48,263,15.5,5.5,5,24,SEA
84,Deebo Samuel,15,37,225,15.0,6.1,5,23,SF
85,Chase Brown,12,44,179,14.9,4.1,0,31,CIN
86,Clyde Edwards-Helaire,15,70,223,14.9,3.2,1,20,KC
87,Jordan Love,17,50,247,14.5,4.9,4,37,GB
88,Dalvin Cook,15,67,214,14.3,3.2,0,14,BAL
89,Dak Prescott,17,55,242,14.2,4.4,2,22,DAL
90,Samaje Perine,17,53,238,14.0,4.5,1,24,DEN
91,Chase Edmonds,13,49,176,13.5,3.6,0,21,TB
92,Cordarrelle Patterson,14,50,181,12.9,3.6,0,18,PIT
93,Desmond Ridder,15,53,193,12.9,3.6,5,23,ARI
94,Michael Carter,15,30,187,12.5,6.2,0,21,ARI
95,Jordan Mason,17,40,206,12.1,5.2,3,26,SF
96,Trey Sermon,14,35,160,11.4,4.6,0,27,IND
97,C.J. Stroud,15,39,167,11.1,4.3,3,16,HOU
98,Craig Reynolds,17,41,179,10.5,4.4,1,19,DET
99,Rondale Moore,17,28,178,10.5,6.4,1,45,ATL
